REQ_ID,Description,Type,Priority,Status,Domain,Feature,Verification_Method,Verification_Criteria,Verification_Status,Traces_To_Arch,Traces_To_SW,Traces_To_Test,Phase,Rationale
SYS-REQ-019,"The attack simulator shall log all generated attack parameters (type, target, duration, rate) for test traceability",Functional,Medium,Created,System,04_Attack_Simulation,Inspection,Log file contains all required parameters for 10 simulated attacks,Not Tested,ARCH-004,SW-REQ-034,TC-SYS-034,Phase 1,Enable reproducible testing and debugging
SYS-REQ-020,The Raspberry Pi and STM32 shall communicate via Ethernet using TCP/IP protocol with reliable delivery,Interface,Critical,Created,System,05_System_Integration,Test,100 consecutive messages exchanged without packet loss,Not Tested,ARCH-005,"SW-REQ-040, SW-REQ-041",TC-SYS-040,Phase 1,Reliable communication essential for system operation
SYS-REQ-021,The STM32 shall report fuzzing detection alerts to Raspberry Pi within 50ms of detection,Performance,High,Created,System,05_System_Integration,Test,95% of alerts delivered within 50ms measured over 100 detections,Not Tested,ARCH-005,SW-REQ-042,TC-SYS-041,Phase 1,Timely alert delivery for coordinated threat response
SYS-REQ-022,"The system shall implement automatic reconnection if Ethernet connection is lost, with maximum 5 retry attempts",Non-Functional,Medium,Created,System,05_System_Integration,Test,System successfully reconnects after simulated cable disconnect within 10 seconds,Not Tested,ARCH-005,SW-REQ-043,TC-SYS-042,Phase 2,System resilience to network interruptions
SYS-REQ-023,The system shall use static IP addressing for Pi (192.168.10.1) and STM32 (192.168.10.2) for predictable network configuration,Interface,High,Created,System,05_System_Integration,Test,Both devices configured with specified IP addresses verified by ping test,Not Tested,ARCH-005,SW-REQ-044,TC-SYS-043,Phase 1,Simplify setup and avoid DHCP dependency
SYS-REQ-024,The system shall include automated unit tests with minimum 80% code coverage for Python modules,Non-Functional,High,Created,Software,06_Testing_Infrastructure,Test,Coverage report shows ≥80% line coverage for all Python modules,Not Tested,ARCH-006,SW-REQ-050,TC-SYS-050,Phase 2,Industry best practice for code quality
SYS-REQ-025,The CI/CD pipeline shall execute all tests and static analysis on every commit to main branch,Non-Functional,High,Created,Software,06_Testing_Infrastructure,Demonstration,GitHub Actions workflow executes and completes for test commit,Not Tested,ARCH-006,SW-REQ-051,TC-SYS-051,Phase 2,Ensure code quality and prevent regressions
SYS-REQ-026,"The system shall run static code analysis (Pylint, Flake8) and fail builds with code quality score below 8.0/10",Non-Functional,Medium,Created,Software,06_Testing_Infrastructure,Test,Pipeline rejects code with quality score <8.0 demonstrated with intentionally poor code,Not Tested,ARCH-006,SW-REQ-052,TC-SYS-052,Phase 2,Maintain consistent code quality
SYS-REQ-027,The Raspberry Pi shall connect to WiFi network and maintain stable connection with automatic reconnection on failure,Functional,High,Created,System,07_Cloud_Connectivity,Test,WiFi connection maintained for 24 hours with <1 minute total downtime,Not Tested,ARCH-007,SW-REQ-060,TC-SYS-060,Phase 3,Enable cloud data upload and remote monitoring
SYS-REQ-028,The system shall upload attack detection alerts to cloud endpoint within 5 seconds of detection,Performance,Medium,Created,System,07_Cloud_Connectivity,Test,90% of alerts uploaded within 5 seconds measured over 100 detections,Not Tested,ARCH-007,SW-REQ-061,TC-SYS-061,Phase 3,Timely cloud notification for remote monitoring
SYS-REQ-029,The system shall buffer alerts locally when cloud connection is unavailable and upload when connection is restored,Functional,Medium,Created,System,07_Cloud_Connectivity,Test,Alerts buffered during 5-minute disconnection successfully uploaded after reconnection,Not Tested,ARCH-007,SW-REQ-062,TC-SYS-062,Phase 3,Ensure no alert loss during network outages
SYS-REQ-030,"The system shall provide real-time dashboard displaying current system status, alert count, and detection statistics",Functional,Medium,Created,System,08_Dashboard_Monitoring,Demonstration,Dashboard displays and updates within 5 seconds of system state change,Not Tested,ARCH-008,SW-REQ-070,TC-SYS-070,Phase 3,User visibility into system operation
SYS-REQ-031,The system shall send email notifications for critical alerts (detected attacks) within 1 minute of detection,Functional,Low,Created,System,08_Dashboard_Monitoring,Test,Email received within 1 minute for 10 test alerts,Not Tested,ARCH-008,SW-REQ-071,TC-SYS-071,Phase 3,Remote notification capability
SYS-REQ-032,"The STM32 firmware shall implement Classic AUTOSAR architecture with BSW, RTE, and ASW layers",Functional,Medium,Created,Software,09_AUTOSAR_Integration,Inspection,Code structure follows AUTOSAR layering verified by architecture review,Not Tested,ARCH-009,SW-REQ-080,TC-SYS-080,Phase 4,Demonstrate automotive software architecture expertise
SYS-REQ-033,The Raspberry Pi shall implement Adaptive AUTOSAR service-oriented architecture with ara::com communication,Functional,Low,Created,Software,09_AUTOSAR_Integration,Test,Services communicate via ara::com demonstrated with test service calls,Not Tested,ARCH-009,SW-REQ-081,TC-SYS-081,Phase 4,Showcase next-generation automotive architecture
SYS-REQ-034,The system shall support over-the-air firmware updates for both Raspberry Pi and STM32 with cryptographic signature verification,Security,Medium,Created,System,10_Secure_FOTA,Test,Successfully update firmware and reject unsigned/tampered updates,Not Tested,ARCH-010,"SW-REQ-090, SW-REQ-091",TC-SYS-090,Phase 4,Demonstrate secure update capability
SYS-REQ-035,The system shall implement A/B partition scheme for Raspberry Pi allowing rollback to previous firmware on update failure,Functional,Medium,Created,System,10_Secure_FOTA,Test,System successfully rolls back after simulated update failure,Not Tested,ARCH-010,SW-REQ-092,TC-SYS-091,Phase 4,Prevent bricking from failed updates
SYS-REQ-036,The Raspberry Pi shall update STM32 firmware via Ethernet using secure bootloader protocol,Functional,Medium,Created,System,10_Secure_FOTA,Test,STM32 firmware successfully updated from Pi with integrity verification,Not Tested,ARCH-010,SW-REQ-093,TC-SYS-092,Phase 4,Centralized update management from Pi
SYS-REQ-037,The STM32 shall implement secure boot chain verifying bootloader and application signatures before execution,Security,High,Created,Hardware,11_Security_Hardening,Test,System refuses to boot with tampered/unsigned firmware,Not Tested,ARCH-011,SW-REQ-100,TC-SYS-100,Phase 4,Establish root of trust
SYS-REQ-038,The system shall use hardware security module (TPM/ATECC608) for cryptographic key storage with keys never exposed in software,Security,High,Created,Hardware,11_Security_Hardening,Test,Private keys used for signing but not readable from software demonstrated by test,Not Tested,ARCH-011,SW-REQ-101,TC-SYS-101,Phase 4,Protect cryptographic material
SYS-REQ-039,All Ethernet communication between Pi and STM32 shall be encrypted using TLS 1.3,Security,Medium,Created,System,11_Security_Hardening,Test,"Network traffic analysis shows encrypted payloads, decryption fails without proper keys",Not Tested,ARCH-011,SW-REQ-102,TC-SYS-102,Phase 4,Protect inter-device communication
SYS-REQ-040,The system shall implement anti-tampering detection and wipe cryptographic keys if hardware tampering is detected,Security,Low,Created,Hardware,11_Security_Hardening,Test,"Keys erased after simulated tampering event (voltage glitch, debug probe)",Not Tested,ARCH-011,SW-REQ-103,TC-SYS-103,Phase 4,Protect against physical attacks
