REQ_ID,Description,Type,Priority,Status,Domain,Feature,Verification_Method,Verification_Criteria,Verification_Status,Traces_To_Arch,Traces_To_SW,Traces_To_Test,Phase,Rationale
SYS-REQ-019,"The attack simulator shall log all generated attack parameters (type, target, duration, rate) for test traceability",Functional,Medium,Created,System,04_Attack_Simulation,Inspection,Log file contains all required parameters for 10 simulated attacks,Not Tested,ARCH-004,SW-REQ-034,TC-SYS-034,Phase 1,Enable reproducible testing and debugging
SYS-REQ-020,The Raspberry Pi and STM32 shall communicate via Ethernet using TCP/IP protocol with reliable delivery,Interface,Critical,Created,System,05_System_Integration,Test,100 consecutive messages exchanged without packet loss,Not Tested,ARCH-005,"SW-REQ-040, SW-REQ-041",TC-SYS-040,Phase 1,Reliable communication essential for system operation
SYS-REQ-021,The STM32 shall report fuzzing detection alerts to Raspberry Pi within 50ms of detection,Performance,High,Created,System,05_System_Integration,Test,95% of alerts delivered within 50ms measured over 100 detections,Not Tested,ARCH-005,SW-REQ-042,TC-SYS-041,Phase 1,Timely alert delivery for coordinated threat response
SYS-REQ-022,"The system shall implement automatic reconnection if Ethernet connection is lost, with maximum 5 retry attempts",Non-Functional,Medium,Created,System,05_System_Integration,Test,System successfully reconnects after simulated cable disconnect within 10 seconds,Not Tested,ARCH-005,SW-REQ-043,TC-SYS-042,Phase 2,System resilience to network interruptions
SYS-REQ-023,The system shall use static IP addressing for Pi (192.168.10.1) and STM32 (192.168.10.2) for predictable network configuration,Interface,High,Created,System,05_System_Integration,Test,Both devices configured with specified IP addresses verified by ping test,Not Tested,ARCH-005,SW-REQ-044,TC-SYS-043,Phase 1,Simplify setup and avoid DHCP dependency
SYS-REQ-024,The system shall include automated unit tests with minimum 80% code coverage for Python modules,Non-Functional,High,Created,Software,06_Testing_Infrastructure,Test,Coverage report shows ≥80% line coverage for all Python modules,Not Tested,ARCH-006,SW-REQ-050,TC-SYS-050,Phase 2,Industry best practice for code quality
SYS-REQ-025,The CI/CD pipeline shall execute all tests and static analysis on every commit to main branch,Non-Functional,High,Created,Software,06_Testing_Infrastructure,Demonstration,GitHub Actions workflow executes and completes for test commit,Not Tested,ARCH-006,SW-REQ-051,TC-SYS-051,Phase 2,Ensure code quality and prevent regressions
SYS-REQ-026,"The system shall run static code analysis (Pylint, Flake8) and fail builds with code quality score below 8.0/10",Non-Functional,Medium,Created,Software,06_Testing_Infrastructure,Test,Pipeline rejects code with quality score <8.0 demonstrated with intentionally poor code,Not Tested,ARCH-006,SW-REQ-052,TC-SYS-052,Phase 2,Maintain consistent code quality
SYS-REQ-027,The Raspberry Pi shall connect to WiFi network and maintain stable connection with automatic reconnection on failure,Functional,High,Created,System,07_Cloud_Connectivity,Test,WiFi connection maintained for 24 hours with <1 minute total downtime,Not Tested,ARCH-007,SW-REQ-060,TC-SYS-060,Phase 3,Enable cloud data upload and remote monitoring
SYS-REQ-028,The system shall upload attack detection alerts to cloud endpoint within 5 seconds of detection,Performance,Medium,Created,System,07_Cloud_Connectivity,Test,90% of alerts uploaded within 5 seconds measured over 100 detections,Not Tested,ARCH-007,SW-REQ-061,TC-SYS-061,Phase 3,Timely cloud notification for remote monitoring
SYS-REQ-029,The system shall buffer alerts locally when cloud connection is unavailable and upload when connection is restored,Functional,Medium,Created,System,07_Cloud_Connectivity,Test,Alerts buffered during 5-minute disconnection successfully uploaded after reconnection,Not Tested,ARCH-007,SW-REQ-062,TC-SYS-062,Phase 3,Ensure no alert loss during network outages
SYS-REQ-030,"The system shall provide real-time dashboard displaying current system status, alert count, and detection statistics",Functional,Medium,Created,System,08_Dashboard_Monitoring,Demonstration,Dashboard displays and updates within 5 seconds of system state change,Not Tested,ARCH-008,SW-REQ-070,TC-SYS-070,Phase 3,User visibility into system operation
SYS-REQ-031,The system shall send email notifications for critical alerts (detected attacks) within 1 minute of detection,Functional,Low,Created,System,08_Dashboard_Monitoring,Test,Email received within 1 minute for 10 test alerts,Not Tested,ARCH-008,SW-REQ-071,TC-SYS-071,Phase 3,Remote notification capability
SYS-REQ-032,"The STM32 firmware shall implement Classic AUTOSAR architecture with BSW, RTE, and ASW layers",Functional,Medium,Created,Software,09_AUTOSAR_Integration,Inspection,Code structure follows AUTOSAR layering verified by architecture review,Not Tested,ARCH-009,SW-REQ-080,TC-SYS-080,Phase 4,Demonstrate automotive software architecture expertise
SYS-REQ-033,The Raspberry Pi shall implement Adaptive AUTOSAR service-oriented architecture with ara::com communication,Functional,Low,Created,Software,09_AUTOSAR_Integration,Test,Services communicate via ara::com demonstrated with test service calls,Not Tested,ARCH-009,SW-REQ-081,TC-SYS-081,Phase 4,Showcase next-generation automotive architecture
SYS-REQ-034,The system shall support over-the-air firmware updates for both Raspberry Pi and STM32 with cryptographic signature verification,Security,Medium,Created,System,10_Secure_FOTA,Test,Successfully update firmware and reject unsigned/tampered updates,Not Tested,ARCH-010,"SW-REQ-090, SW-REQ-091",TC-SYS-090,Phase 4,Demonstrate secure update capability
SYS-REQ-035,The system shall implement A/B partition scheme for Raspberry Pi allowing rollback to previous firmware on update failure,Functional,Medium,Created,System,10_Secure_FOTA,Test,System successfully rolls back after simulated update failure,Not Tested,ARCH-010,SW-REQ-092,TC-SYS-091,Phase 4,Prevent bricking from failed updates
SYS-REQ-036,The Raspberry Pi shall update STM32 firmware via Ethernet using secure bootloader protocol,Functional,Medium,Created,System,10_Secure_FOTA,Test,STM32 firmware successfully updated from Pi with integrity verification,Not Tested,ARCH-010,SW-REQ-093,TC-SYS-092,Phase 4,Centralized update management from Pi
SYS-REQ-037,The STM32 shall implement secure boot chain verifying bootloader and application signatures before execution,Security,High,Created,Hardware,11_Security_Hardening,Test,System refuses to boot with tampered/unsigned firmware,Not Tested,ARCH-011,SW-REQ-100,TC-SYS-100,Phase 4,Establish root of trust
SYS-REQ-038,The system shall use hardware security module (TPM/ATECC608) for cryptographic key storage with keys never exposed in software,Security,High,Created,Hardware,11_Security_Hardening,Test,Private keys used for signing but not readable from software demonstrated by test,Not Tested,ARCH-011,SW-REQ-101,TC-SYS-101,Phase 4,Protect cryptographic material
SYS-REQ-039,All Ethernet communication between Pi and STM32 shall be encrypted using TLS 1.3,Security,Medium,Created,System,11_Security_Hardening,Test,"Network traffic analysis shows encrypted payloads, decryption fails without proper keys",Not Tested,ARCH-011,SW-REQ-102,TC-SYS-102,Phase 4,Protect inter-device communication
SYS-REQ-040,The system shall implement anti-tampering detection and wipe cryptographic keys if hardware tampering is detected,Security,Low,Created,Hardware,11_Security_Hardening,Test,"Keys erased after simulated tampering event (voltage glitch, debug probe)",Not Tested,ARCH-011,SW-REQ-103,TC-SYS-103,Phase 4,Protect against physical attacks
SYS-REQ-041,The system shall implement a watchdog mechanism where STM32 monitors Raspberry Pi health and initiates reset if Pi becomes unresponsive,Functional,High,Created,System,12_WDG_Monitoring,Test,STM32 successfully detects missing heartbeat and resets Pi within timeout period,Not Tested,ARCH-013,SW-REQ-130,TC-SYS-130,Phase 2,Ensure system reliability and automatic recovery from Pi software failures
SYS-REQ-042,The Raspberry Pi shall send heartbeat messages to STM32 at minimum interval of 2 seconds during normal operation,Functional,High,Created,System,12_WDG_Monitoring,Test,Heartbeat messages sent every 2 seconds with <100ms jitter measured over 1000 samples,Not Tested,ARCH-013,"SW-REQ-131, SW-REQ-132",TC-SYS-131,Phase 2,Provide regular health status to watchdog for supervision
SYS-REQ-043,The STM32 watchdog shall debounce heartbeat timeout by requiring 3 consecutive missed heartbeats before initiating reset action,Non-Functional,High,Created,System,12_WDG_Monitoring,Test,"Reset triggered only after 6 seconds (3 x 2s intervals) of missing heartbeats, not on single missed heartbeat",Not Tested,ARCH-013,SW-REQ-133,TC-SYS-132,Phase 2,Avoid false positive resets due to temporary network glitches or processing delays
SYS-REQ-044,The STM32 shall reset Raspberry Pi by controlling Pi's RUN pin with minimum 1 second assertion time,Functional,High,Created,Hardware,12_WDG_Monitoring,Test,"Pi successfully reboots when RUN pin pulled low for 1 second, verified by boot sequence detection",Not Tested,ARCH-013,SW-REQ-134,TC-SYS-133,Phase 2,Provide hardware-level reset mechanism independent of Pi's software state
SYS-REQ-045,"The system shall log all watchdog reset events with timestamp and reason (heartbeat timeout, high CPU, high memory) to non-volatile storage",Functional,Medium,Created,System,12_WDG_Monitoring,Inspection,"Log file contains all reset events with timestamp, reason code, and pre-reset system state for last 10 resets",Not Tested,ARCH-013,SW-REQ-135,TC-SYS-134,Phase 2,Enable root cause analysis and system reliability monitoring
SYS-REQ-046,"The Raspberry Pi heartbeat message shall include system health metrics (CPU usage, memory usage, detection status)",Functional,Medium,Created,System,12_WDG_Monitoring,Test,"Heartbeat message contains valid CPU percentage (0-100), memory percentage (0-100), and detection active flag",Not Tested,ARCH-013,SW-REQ-136,TC-SYS-135,Phase 3,Enable proactive monitoring and intelligent reset decisions based on system health
SYS-REQ-047,The STM32 watchdog shall optionally trigger reset if Raspberry Pi CPU usage remains above 95% for more than 30 seconds,Non-Functional,Low,Created,System,12_WDG_Monitoring,Test,"Reset triggered when CPU >95% sustained for 30 seconds, verified by artificial CPU load test",Not Tested,ARCH-013,SW-REQ-137,TC-SYS-136,Phase 3,Detect and recover from infinite loops or CPU-bound failure modes
SYS-REQ-048,The watchdog mechanism shall be disabled automatically during Raspberry Pi firmware update operations,Functional,Medium,Created,System,12_WDG_Monitoring,Test,"Watchdog successfully disabled during FOTA update, Pi not reset during 5-minute update simulation",Not Tested,ARCH-013,SW-REQ-138,TC-SYS-137,Phase 4,Prevent interruption of critical firmware update process
SYS-REQ-049,The system shall provide a RAG (Retrieval Augmented Generation) documentation assistant capable of answering natural language questions about project implementation,Functional,Low,Created,Software,13_RAG_Documentation_Assist,Demonstration,"RAG system successfully answers 20 test questions about code, architecture, and requirements with >90% accuracy",Not Tested,ARCH-012,"SW-REQ-110, SW-REQ-111",TC-SYS-110,Phase 5,Provide intelligent documentation access for project visitors and collaborators
SYS-REQ-050,"The RAG system shall index all project documentation including markdown files, source code, requirements CSV, and hardware datasheets",Functional,Medium,Created,Software,13_RAG_Documentation_Assist,Test,"Vector database contains embeddings for all docs, code files, requirements, and PDFs with successful retrieval test",Not Tested,ARCH-012,SW-REQ-112,TC-SYS-111,Phase 5,Enable comprehensive knowledge base covering all project artifacts
SYS-REQ-051,The RAG system shall retrieve relevant code snippets with correct file paths and line numbers when queried about implementation details,Functional,Medium,Created,Software,13_RAG_Documentation_Assist,Test,"Code retrieval query returns correct file path, line numbers, and syntax-highlighted code snippet for 10 test queries",Not Tested,ARCH-012,SW-REQ-113,TC-SYS-112,Phase 5,Provide direct access to implementation details with proper source references
SYS-REQ-052,"The RAG system shall answer requirements traceability queries showing links between requirements, architecture, code, and tests",Functional,Medium,Created,Software,13_RAG_Documentation_Assist,Test,"Traceability query for any requirement returns correct architecture component, software requirements, and test cases",Not Tested,ARCH-012,SW-REQ-114,TC-SYS-113,Phase 5,Enable impact analysis and requirements coverage verification
SYS-REQ-053,The RAG system shall provide responses within 5 seconds for 95% of queries under normal load conditions,Performance,Medium,Created,Software,13_RAG_Documentation_Assist,Test,Response time <5 seconds for 95 of 100 test queries measured under simulated user load,Not Tested,ARCH-012,SW-REQ-115,TC-SYS-114,Phase 5,Ensure responsive user experience for documentation queries
SYS-REQ-054,The RAG system shall be accessible via web interface with conversational chat UI supporting conversation history,Functional,Medium,Created,Software,13_RAG_Documentation_Assist,Demonstration,"Web interface loads successfully, accepts queries, maintains conversation context for 10+ exchanges",Not Tested,ARCH-012,SW-REQ-116,TC-SYS-115,Phase 5,Provide user-friendly interface for project documentation access
SYS-REQ-055,The RAG system shall cite source documents for all responses with clickable links to original content,Functional,High,Created,Software,13_RAG_Documentation_Assist,Test,Every response includes source citations with working GitHub links to referenced documents/code,Not Tested,ARCH-012,SW-REQ-117,TC-SYS-116,Phase 5,Enable verification of information and exploration of source material
SYS-REQ-056,The RAG system shall use Claude API for natural language generation with project-specific context,Functional,High,Created,Software,13_RAG_Documentation_Assist,Demonstration,"RAG successfully integrates Claude API, generates coherent responses using retrieved context",Not Tested,ARCH-012,SW-REQ-118,TC-SYS-117,Phase 5,Leverage advanced LLM capabilities for high-quality natural language responses
SYS-REQ-057,The RAG vector database shall use ChromaDB or equivalent with sentence-transformer embeddings for document retrieval,Non-Functional,Medium,Created,Software,13_RAG_Documentation_Assist,Inspection,"Vector database configured with ChromaDB, embeddings generated using sentence-transformers model",Not Tested,ARCH-012,SW-REQ-119,TC-SYS-118,Phase 5,Use proven open-source tools for cost-effective RAG implementation
SYS-REQ-058,The RAG system shall be deployed as publicly accessible web application with usage analytics,Functional,Low,Created,Software,13_RAG_Documentation_Assist,Demonstration,"RAG accessible via public URL, analytics show query count, response times, and user sessions",Not Tested,ARCH-012,SW-REQ-120,TC-SYS-119,Phase 5,Enable portfolio demonstration and track community engagement
